Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
1100015,Alta Floresta D'Oeste (RO),495629,29351,162668,14441,130220,158948
1100023,Ariquemes (RO),2578830,284398,170831,283899,1136039,703663
1100031,Cabixi (RO),139959,5998,61501,3267,25547,43646
1100049,Cacoal (RO),2260644,253988,193077,178514,1070827,564238
1100056,Cerejeiras (RO),506854,76671,70992,16167,230623,112401
1100064,Colorado do Oeste (RO),334851,22070,72324,20610,110968,108878
1100072,Corumbiara (RO),349247,10548,238296,8457,33355,58592
1100080,Costa Marques (RO),238769,8220,67535,4287,45147,113579
1100098,Espigão D'Oeste (RO),624760,53501,128213,47842,193941,201263
1100106,Guajará-Mirim (RO),892883,126978,49489,24141,394562,297713
1100114,Jaru (RO),1500890,176675,169612,168855,647003,338745
1100122,Ji-Paraná (RO),3782972,521760,140589,519085,1800964,800573
1100130,Machadinho D'Oeste (RO),633007,33154,175136,35327,138281,251109
1100148,Nova Brasilândia D'Oeste (RO),359524,23790,102520,13758,86328,133128
1100155,Ouro Preto do Oeste (RO),834168,65480,136452,77450,314695,240092
1100189,Pimenta Bueno (RO),1163877,200572,117084,148395,448038,249788
1100205,Porto Velho (RO),17912070,2225078,647447,4311752,7194917,3532877
1100254,Presidente Médici (RO),427752,35216,107464,33043,126290,125738
1100262,Rio Crespo (RO),111023,3567,61267,2878,11443,31868
1100288,Rolim de Moura (RO),1283434,122884,95724,176673,527989,360165
1100296,Santa Luzia D'Oeste (RO),142612,5531,51375,9397,27147,49161
1100304,Vilhena (RO),2831175,411109,120729,316934,1307160,675243
1100320,São Miguel do Guaporé (RO),615804,37649,203024,72792,147739,154599
1100338,Nova Mamoré (RO),529261,20475,199540,19160,97426,192660
1100346,Alvorada D'Oeste (RO),260348,10423,81159,8651,60941,99175
1100379,Alto Alegre dos Parecis (RO),288681,11248,133292,10228,43656,90258
1100403,Alto Paraíso (RO),358464,18150,102009,19732,84860,133713
1100452,Buritis (RO),726031,53931,189293,29260,207796,245751
